,importance
target_roll_7,0.36785564
target_roll_14,0.09990964
target_lag_1,0.0581408
wind_speed_mean_kmh,0.037925918
day_of_week,0.034712013
temp_max_c,0.032364912
target_lag_14,0.030772025
s5p_no2_mean,0.030022541
s5p_lag_1,0.02870458
day_of_year,0.02516427
humidity_mean_pct,0.024204956
precipitation_mm,0.022327717
pressure_hpa,0.021474684
s5p_pixel_count,0.021273725
s5p_roll_7,0.019483803
target_lag_3,0.019391041
s5p_lag_7,0.018198032
temp_mean_c,0.016630273
is_august,0.0164008
temp_min_c,0.01607276
target_lag_7,0.015953854
month,0.015590376
is_holiday,0.015518102
target_lag_2,0.011907481
is_weekend,0.0
