date,year,month,tile_cloud_pct,park_contam_pct,park_cloud_pct,park_cirrus_pct,park_shadow_pct,park_veg_pct,mean_ndre,tier
2022-06-10,2022,6,1.426531,0.0,0.0,0.0,0.0,28.9,0.17326508462429047,CLEAN
2022-06-20,2022,6,1.34187,0.0,0.0,0.0,0.0,29.7,0.17189748585224152,CLEAN
2022-06-30,2022,6,0.644042,0.0,0.0,0.0,0.0,30.1,0.16526784002780914,CLEAN
2022-07-02,2022,7,0.253737,0.0,0.0,0.0,0.0,29.3,0.1684645563364029,CLEAN
2022-07-15,2022,7,0.43984299999999993,0.0,0.0,0.0,0.0,26.1,0.15235915780067444,CLEAN
2022-07-22,2022,7,0.077808,0.0,0.0,0.0,0.0,23.5,,CLEAN
2022-08-01,2022,8,4.649701,0.0,0.0,0.0,0.0,26.8,0.1542680412530899,CLEAN
2022-08-04,2022,8,4.584739,0.0,0.0,0.0,0.0,25.4,0.14474646747112274,CLEAN
2022-08-24,2022,8,1.979831,0.0,0.0,0.0,0.0,29.1,0.15276193618774414,CLEAN
2022-09-18,2022,9,0.034502,0.0,0.0,0.0,0.0,30.5,0.1588696539402008,CLEAN
2022-09-20,2022,9,2.740751,0.0,0.0,0.0,0.0,29.3,0.16134589910507202,CLEAN
2022-09-23,2022,9,19.115637,0.0,0.0,0.0,0.0,29.4,0.15954048931598663,CLEAN
2023-06-17,2023,6,9.532142,0.0,0.0,0.0,0.0,32.1,0.19074933230876923,CLEAN
2023-06-25,2023,6,7.8632219999999995,0.0,0.0,0.0,0.0,30.9,0.16675613820552826,CLEAN
2023-07-07,2023,7,2.857163,0.0,0.0,0.0,0.0,31.0,0.172693133354187,CLEAN
2023-07-10,2023,7,0.059087,0.0,0.0,0.0,0.0,27.8,0.1580231934785843,CLEAN
2023-07-17,2023,7,0.323608,0.0,0.0,0.0,0.0,28.0,0.16759146749973297,CLEAN
2023-07-27,2023,7,0.532468,0.0,0.0,0.0,0.0,0.0,,CLEAN
2023-08-19,2023,8,1.103095,0.0,0.0,0.0,0.0,26.2,0.15426719188690186,CLEAN
2023-08-21,2023,8,0.002322,0.0,0.0,0.0,0.0,27.9,0.15313540399074554,CLEAN
2023-08-24,2023,8,0.002631,0.0,0.0,0.0,0.0,24.9,0.15530256927013397,CLEAN
2023-09-08,2023,9,0.123248,0.0,0.0,0.0,0.0,28.1,0.14802606403827667,CLEAN
2023-09-10,2023,9,0.0014,0.0,0.0,0.0,0.0,26.1,0.1495523750782013,CLEAN
2023-09-25,2023,9,0.865896,0.0,0.0,0.0,0.0,26.1,0.14842528104782104,CLEAN
2024-06-01,2024,6,6.21023,0.0,0.0,0.0,0.0,36.0,0.19472315907478333,CLEAN
2024-06-19,2024,6,7.754397,0.0,0.0,0.0,0.0,15.6,0.17509479820728302,CLEAN
2024-07-11,2024,7,0.00674,0.0,0.0,0.0,0.0,31.3,0.17712147533893585,CLEAN
2024-07-16,2024,7,0.951487,0.0,0.0,0.0,0.0,31.1,0.172528475522995,CLEAN
2024-07-21,2024,7,6.101218,0.0,0.0,0.0,0.0,29.0,0.18664513528347015,CLEAN
2024-07-29,2024,7,2.519696,0.0,0.0,0.0,0.0,29.5,0.17013122141361237,CLEAN
2024-08-13,2024,8,1.220719,0.0,0.0,0.0,0.0,28.6,0.1623128354549408,CLEAN
2024-08-23,2024,8,2.517613,0.0,0.0,0.0,0.0,27.4,0.15808285772800446,CLEAN
2024-08-25,2024,8,4.912538,0.0,0.0,0.0,0.0,28.4,0.1586219221353531,CLEAN
2024-09-09,2024,9,13.85216,0.0,0.0,0.0,0.0,27.7,0.15312303602695465,CLEAN
2024-09-29,2024,9,15.00714,0.0,0.0,0.0,0.0,31.4,0.16256290674209595,CLEAN
2025-06-13,2025,6,1.171935,0.0,0.0,0.0,0.0,24.6,0.18261389434337616,CLEAN
2025-06-19,2025,6,0.088298,0.0,0.0,0.0,0.0,31.1,0.17647607624530792,CLEAN
2025-06-26,2025,6,0.437427,0.0,0.0,0.0,0.0,29.5,0.177678644657135,CLEAN
2025-07-09,2025,7,0.027419,0.0,0.0,0.0,0.0,31.2,0.1691846400499344,CLEAN
2025-07-11,2025,7,4.408705,0.0,0.0,0.0,0.0,28.1,0.16134457290172577,CLEAN
2025-07-29,2025,7,4.937332,0.0,0.0,0.0,0.0,30.1,0.1626412570476532,CLEAN
2025-08-05,2025,8,0.926825,0.0,0.0,0.0,0.0,30.7,0.16231341660022736,CLEAN
2025-08-08,2025,8,1.56818,0.0,0.0,0.0,0.0,30.4,0.1635955423116684,CLEAN
2025-08-12,2025,8,1.04867,0.0,0.0,0.0,0.0,28.8,0.16316112875938416,CLEAN
2025-09-19,2025,9,0.002134,0.0,0.0,0.0,0.0,30.4,0.1545247882604599,CLEAN
2025-09-21,2025,9,0.072037,0.0,0.0,0.0,0.0,29.9,0.16009552776813507,CLEAN
2025-09-29,2025,9,1.945493,0.0,0.0,0.0,0.0,31.8,0.1570490151643753,CLEAN
2024-09-07,2024,9,14.692725,13.57,11.58,0.0,1.99,16.3,0.13208547234535217,EXCLUDE
