date,cittadella_no2_daily_mean,montebello_no2_daily_mean,s5p_no2_mean,s5p_pixel_count,temp_mean_c,temp_min_c,temp_max_c,humidity_mean_pct,wind_speed_mean_kmh,pressure_hpa,precipitation_mm
2022-04-01,17.166666666666668,23.956521739130434,39.568865,10.0,10.49,6.4,17.0,75.92,6.192,984.19,5.5
2022-04-02,12.5,17.454545454545453,48.052946666666664,6.0,7.13,2.6,11.6,65.0,9.216000000000001,991.3,2.0
2022-04-03,14.1875,19.055555555555557,41.172669285714285,14.0,7.39,3.5,12.1,75.58,8.064000000000002,1005.18,2.4
2022-04-04,20.63157894736842,25.583333333333332,59.2305296,25.0,7.95,3.0,12.9,72.42,5.58,1009.59,0.8
2022-04-05,17.80952380952381,26.565217391304348,76.94159452380953,42.0,9.31,2.5,16.8,70.12,5.508,1005.05,0.0
2022-04-06,18.454545454545453,25.25,60.09438210526315,38.0,10.22,3.0,16.9,71.21,6.012,1001.87,0.0
2022-04-07,14.785714285714286,24.136363636363637,80.1023255,40.0,13.11,6.0,20.6,58.42,12.384,996.33,0.0
2022-04-08,21.714285714285715,20.9375,51.439705333333336,30.0,16.24,12.1,20.7,62.33,22.788,994.32,0.0
2022-04-09,8.625,14.75,44.61175653846154,26.0,15.07,6.8,20.7,52.5,25.128000000000004,993.8,3.2
2022-04-10,12.75,16.043478260869566,42.53884975,40.0,8.92,1.9,16.1,62.88,8.1,1009.77,0.0
2022-04-11,18.352941176470587,30.1,92.38986583333333,36.0,10.7,3.0,17.4,50.88,6.84,1012.7,0.0
2022-04-12,23.133333333333333,29.695652173913043,69.5661140909091,44.0,11.85,5.5,18.6,49.33,8.208,1011.85,0.0
2022-04-13,21.533333333333335,25.304347826086957,52.6514921875,32.0,12.88,5.6,19.8,66.04,8.388,1011.16,0.0
2022-04-14,24.166666666666668,30.25,48.62592611111111,36.0,14.18,5.9,21.9,59.92,6.3,1011.35,0.0
2022-04-15,21.157894736842106,27.5,45.66959088235294,34.0,15.69,7.9,23.7,51.12,5.9399999999999995,1011.13,0.0
2022-04-16,18.58823529411765,21.583333333333332,42.4233265625,32.0,15.32,8.7,23.2,58.5,11.304,1010.11,0.0
2022-04-17,9.88888888888889,14.923076923076923,22.55686590909091,44.0,12.2,7.8,16.8,45.54,14.04,1012.38,0.0
2022-04-18,13.272727272727273,14.142857142857142,25.538042315789472,38.0,11.65,3.0,17.9,44.96,7.884,1007.92,0.0
2022-04-19,13.454545454545455,20.583333333333332,51.96149739130435,46.0,12.73,4.4,20.5,51.96,6.84,1002.36,0.0
2022-04-20,11.235294117647058,17.217391304347824,,,12.11,7.3,17.0,70.12,12.24,1004.13,0.3
2022-04-21,12.363636363636363,20.875,,,10.95,8.9,14.7,77.21,13.176,1001.59,3.9
2022-04-22,15.136363636363637,26.52173913043478,,,10.98,9.1,14.3,86.33,8.316,994.6,23.2
2022-04-23,14.857142857142858,24.125,,,13.45,7.3,19.2,77.08,9.216000000000001,997.2,4.2
2022-04-24,9.714285714285714,12.285714285714286,,,12.41,9.4,15.4,75.75,8.388,996.53,1.6
2022-04-25,14.25,14.214285714285714,,,13.89,8.2,19.5,71.25,8.568,1001.25,0.2
2022-04-26,11.75,17.571428571428573,,2.0,14.22,9.2,20.1,77.42,7.668,1005.26,0.3
2022-04-27,,,47.905449210526314,38.0,14.61,9.1,20.4,72.25,7.308,1009.81,0.4
2022-04-28,18.5625,22.47826086956522,54.58369434782609,46.0,14.25,6.8,21.0,65.42,10.152,1014.81,0.0
2022-04-29,21.8,22.166666666666668,57.002636764705876,34.0,14.3,8.1,20.6,58.54,8.856,1016.27,0.0
2022-04-30,23.0625,24.5,,1.0,14.99,7.8,21.0,54.08,8.64,1011.52,0.0
2022-05-01,14.785714285714286,14.8,32.09497277777778,18.0,14.86,11.1,20.0,67.0,7.056,1008.1,5.8
2022-05-02,18.153846153846153,20.26086956521739,36.282224166666666,24.0,14.58,7.6,20.4,68.58,6.9479999999999995,1006.65,0.0
2022-05-03,14.722222222222221,19.391304347826086,29.273111136363635,44.0,15.55,7.9,22.7,66.5,5.867999999999999,1006.47,0.0
